"Hash","Path"
"41CAF1DB97DE6568B5D76A1775F06B66F489BF8C","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\RegSvcs.exe"
"49D848D55A93B3F9040BC2D06DBB0C2BC316C4AD","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\ServiceModelReg.exe"
"09AFEFF9CB54ED9620DBE6D04E7D418423BDFFAD","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"9DE369D588F9C95E6BA0A5E2CE525365E0531A89","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\vbc.exe"
"C462EF992AAFFC75CC7AC3661369224DBFFA4F13","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\WsatConfig.exe"
"BA9B8ED608CD1C5BA57AC4FD0592DC0235FD27D7","C:\Windows\PrintDialog\PrintDialog.exe"
"8751D1C862D46FB6086DD2A7C694D494FD683DBF","C:\Windows\servicing\TrustedInstaller.exe"
"672653329EA86361922A69621F14276204627F82","C:\Windows\Speech\Common\sapisvr.exe"
"9DB9791798EF08C6000EF879CB5B4612B27D6636","C:\Windows\System32\agentactivationruntimestarter.exe"
"BC27D8E42D96EF77994D80724CDB07F396E60B70","C:\Windows\System32\appidtel.exe"
"534A42A7045ED26D11D00721A9542CACA7F2B4EF","C:\Windows\System32\ARP.EXE"
"63DB5BEA03C9924DF8EC497DAC03F41AF582565B","C:\Windows\System32\at.exe"
"C7FE62899CB337DCF9CFF0DEA6A3ADF61E2AE222","C:\Windows\System32\AtBroker.exe"
"831EF11DA10DE2706EF6920D58CB3CC145148B27","C:\Windows\System32\attrib.exe"
"2C7AC7FF170567BC2EB4578BA2242220F5BC997A","C:\Windows\System32\auditpol.exe"
"41AEC7A0680DD61FA0EBC8E1DEE2DA4BC0B41241","C:\Windows\System32\autochk.exe"
"93BBC8180D0B8354EA00D73E514CBDE41F631EF5","C:\Windows\System32\autoconv.exe"
"131413737966C25423D35BB14F1E803A28201083","C:\Windows\System32\autofmt.exe"
"B834F10A9249D648076425DFEBB9702C9B2E4192","C:\Windows\System32\backgroundTaskHost.exe"
"A59AC22F93C5CCBA8B9DD5EF1F0D649B4844AB14","C:\Windows\System32\BackgroundTransferHost.exe"
"1CED6636BD2462C0F1B64775E1981D22AE57AF0B","C:\Windows\System32\bitsadmin.exe"
"4720D0A3A64C3E337CDF545C5150DDC20033761A","C:\Windows\System32\bootcfg.exe"
"75668F50BD9830FAF3A4975C941CD659DCC504C1","C:\Windows\System32\bthudtask.exe"
"78E1A3368F6F690DF2EA33966E68AEB6E9F3367A","C:\Windows\System32\ByteCodeGenerator.exe"
"C20D323DA2AC83D69472C316D1528174E2718DCE","C:\Windows\System32\cacls.exe"
"3574FC3A80D80146A7067A478DB209E452757950","C:\Windows\System32\calc.exe"
"C20EEDFBB2DDD04AA094F11067E5ED13967E282F","C:\Windows\System32\CameraSettingsUIHost.exe"
"7F5982B6BCCE47C16BB3C81877FC7B9E74C4734F","C:\Windows\System32\CertEnrollCtrl.exe"
"DF320B01643259AEDE3D46C09439C41F9D1804E4","C:\Windows\System32\certreq.exe"
"2085D81175AEF2537D4B4E8DCD641585951DADEE","C:\Windows\System32\certutil.exe"
"612EF68E300C084C63A6BA27221FD74B724BADBC","C:\Windows\System32\charmap.exe"
"F759238BE45C73342A9C0CECD98773CFB97D0A4A","C:\Windows\System32\CheckNetIsolation.exe"
"82256B26A70A38FED9AF0080CD4B07320041C69B","C:\Windows\System32\chkdsk.exe"
"DC7CDC53D24CF94D66A77A9AD5AB84551056659A","C:\Windows\System32\chkntfs.exe"
"6FA25E0162F4AB0ABF7BCD8368B03722244D81FF","C:\Windows\System32\choice.exe"
"A378EC4828DAB685A88B2763DB5DCE96C3AC20E6","C:\Windows\System32\cipher.exe"
"CC79E333A78DBA85136B9674125E6F48C13B099A","C:\Windows\System32\cleanmgr.exe"
"115948FE90CD8D1890F1B59E767409CAF1F95B2B","C:\Windows\System32\cliconfg.exe"
"E898A3B321BD6734C5A676382B5C0DFD42BE377D","C:\Windows\System32\clip.exe"
"C3D8FAED4A7E60634F538196506B080454F16349","C:\Windows\System32\CloudNotifications.exe"
"9305F79E08477D217BC990C23ED6F18DB1678D82","C:\Windows\System32\cmd.exe"
"858A6A5A56C473F3DDD0BC2CC6DFE30856442103","C:\Windows\System32\cmdkey.exe"
"ED73F4A5605FBDE7CA7454D8E851B6EB6F14DA11","C:\Windows\System32\cmdl32.exe"
"1BE1612863AD7147EA03047D8B934F89055F440E","C:\Windows\System32\cmmon32.exe"
"E1E2758E7427FFEF7D943EF1AE9024AF76A9142F","C:\Windows\System32\cmstp.exe"
"7E9B267FAEE4593DF44E41B0A5FB900DE62060FB","C:\Windows\System32\colorcpl.exe"
"CFC9150CA0300B0103DA49CE21D8DCA6DCAE13AC","C:\Windows\System32\comp.exe"
"5E38AB6290379794F88655B2D68A361574F07482","C:\Windows\System32\compact.exe"
"28BC560C542C405E08001F95C4EA0511E5211035","C:\Windows\System32\ComputerDefaults.exe"
"912DB82D61915F34E60FDCEB39963E71B9FA0546","C:\Windows\System32\control.exe"
"A964322A5C12A99FC7C8CE5EF48F98C3E2CA01CE","C:\Windows\System32\convert.exe"
"5C384E36F09F60D54B492344DDA85C77D7D90CA2","C:\Windows\System32\CredentialUIBroker.exe"
"E42D4D119E7ED4104F89E9242439003328320540","C:\Windows\System32\credwiz.exe"
"85CE2BC3E099FC6BD46CDB1DB95FE75E3572E364","C:\Windows\System32\cscript.exe"
"5B9B974633633E3C2D748917D5A4B31A7D86C14F","C:\Windows\System32\csvde.exe"
"1C06DBE26185E2956373118EDC7543EE5FE9B6EB","C:\Windows\System32\ctfmon.exe"
"6840CC68AE55DC00F07157C35A1EF134C98FFE53","C:\Windows\System32\cttune.exe"
